CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,POSTO,UNIDADE,Total TUSD,Total TE
CERAL ARARUAMA,B2,Branca,Rural,Não se aplica,Intermediário,MWh,1349.91,310.89
CERAL ARARUAMA,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,557.32,310.89
CERAL ARARUAMA,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,2096.92,304.27
CERAL ARARUAMA,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,1321.19,304.27
CERAL ARARUAMA,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,545.47,304.27
CERAL ARARUAMA,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,923.13,310.89
CERAL ARARUAMA,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,923.13,310.89
CERAL ARARUAMA,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,903.49,304.27
CERAL ARARUAMA,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,923.13,310.89
CERAL ARARUAMA,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,923.13,310.89
CERAL ARARUAMA,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,903.49,304.27
CERAL ARARUAMA,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,2644.09,330.73
CERAL ARARUAMA,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,1654.98,330.73
CERAL ARARUAMA,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,665.87,330.73
CERAL ARARUAMA,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,982.06,330.73
CERAL ARARUAMA,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,982.06,330.73
CERAL ARARUAMA,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,540.13,181.9
CERAL ARARUAMA,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,589.23,198.44
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,9.87,0.0
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,66.22,0.0
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,9.87,0.0
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,21.28,0.0
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,102.89,203.38
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,66.22,0.0
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,102.89,203.38
CERBRANORTE,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,21.28,0.0
CERBRANORTE,A4,Distribuição,Não se aplica,Não se aplica,Ponta,kW,50.4,0.0
CERBRANORTE,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,MWh,8.93,0.0
CERBRANORTE,A4,Distribuição,Não se aplica,Não se aplica,Fora ponta,kW,16.86,0.0
CERBRANORTE,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,3.55,0.0
CERBRANORTE,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1602.61,0.0
CERBRANORTE,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,21.28,0.0
CERBRANORTE,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,9.87,0.0
CERBRANORTE,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1695.62,203.38
CERBRANORTE,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,21.28,0.0
CERBRANORTE,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,102.89,203.38
CERBRANORTE,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,5.75,0.0
CERBRANORTE,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,11.68,0.0
CERBRANORTE,B1,Branca,Residencial,Residencial,Ponta,MWh,822.25,203.38
CERBRANORTE,B1,Branca,Residencial,Residencial,Intermediário,MWh,546.23,203.38
CERBRANORTE,B1,Branca,Residencial,Residencial,Fora ponta,MWh,270.24,203.38
CERBRANORTE,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,279.81,203.38
CERBRANORTE,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,387.74,203.38
CERBRANORTE,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,279.81,203.38
CERBRANORTE,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,387.74,203.38
CERBRANORTE,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,867.03,191.18
CERBRANORTE,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,569.9,191.18
CERBRANORTE,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,272.8,191.18
CERBRANORTE,B2,Branca,Rural,Não se aplica,Ponta,MWh,867.03,191.18
CERBRANORTE,B2,Branca,Rural,Não se aplica,Intermediário,MWh,569.9,191.18
CERBRANORTE,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,272.8,191.18
CERBRANORTE,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,848.59,187.11
CERBRANORTE,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,557.77,187.11
CERBRANORTE,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,266.99,187.11
CERBRANORTE,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,364.47,191.18
CERBRANORTE,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,364.47,191.18
CERBRANORTE,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,356.72,187.11
CERBRANORTE,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,364.47,191.18
CERBRANORTE,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,364.47,191.18
CERBRANORTE,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,356.72,187.11
CERBRANORTE,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,1013.88,203.38
CERBRANORTE,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,661.18,203.38
CERBRANORTE,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,308.51,203.38
CERBRANORTE,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,387.74,203.38
CERBRANORTE,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,387.74,203.38
CERBRANORTE,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,213.26,111.86
CERBRANORTE,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,232.64,122.03
CERCI,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,23.78,0.0
CERCI,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,197.65,0.0
CERCI,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,23.78,0.0
CERCI,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,77.97,0.0
CERCI,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,136.86,260.8
CERCI,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,197.65,0.0
CERCI,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,136.86,260.8
CERCI,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,77.97,0.0
CERCI,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,260.8
CERCI,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,18.12,0.0
CERCI,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,4777.19,0.0
CERCI,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,77.97,0.0
CERCI,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,23.78,0.0
CERCI,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,4890.26,260.8
CERCI,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,77.97,0.0
CERCI,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,136.86,260.8
CERCI,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,7.15,0.0
CERCI,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,23.01,0.0
CERCI,B1,Branca,Residencial,Residencial,Ponta,MWh,2303.84,260.8
CERCI,B1,Branca,Residencial,Residencial,Intermediário,MWh,1456.16,260.8
CERCI,B1,Branca,Residencial,Residencial,Fora ponta,MWh,608.47,260.8
CERCI,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,837.8,260.8
CERCI,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,969.52,260.8
CERCI,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,837.8,260.8
CERCI,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,969.52,260.8
CERCI,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,2091.83,245.15
CERCI,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,1324.52,245.15
CERCI,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,557.21,245.15
CERCI,B2,Branca,Rural,Não se aplica,Ponta,MWh,2091.83,245.15
CERCI,B2,Branca,Rural,Não se aplica,Intermediário,MWh,1324.52,245.15
CERCI,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,557.21,245.15
CERCI,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,2047.32,239.94
CERCI,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,1296.34,239.94
CERCI,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,545.35,239.94
CERCI,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,911.35,245.15
CERCI,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,911.35,245.15
CERCI,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,891.96,239.94
CERCI,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,911.35,245.15
CERCI,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,911.35,245.15
CERCI,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,891.96,239.94
CERCI,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,2578.55,260.8
CERCI,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,1620.98,260.8
CERCI,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,663.41,260.8
CERCI,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,969.52,260.8
CERCI,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,969.52,260.8
CERCI,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,533.24,143.44
CERCI,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,581.71,156.48
CERCOS,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,17.86,0.0
CERCOS,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,177.81,0.0
CERCOS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,17.86,0.0
CERCOS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,56.08,0.0
CERCOS,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,67.08,256.69
CERCOS,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,177.81,0.0
CERCOS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,67.08,256.69
CERCOS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,56.08,0.0
CERCOS,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,256.69
CERCOS,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,10.41,0.0
CERCOS,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,2949.62,0.0
CERCOS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,56.08,0.0
CERCOS,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,17.86,0.0
CERCOS,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,2998.84,256.69
CERCOS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,56.08,0.0
CERCOS,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,67.08,256.69
CERCOS,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,5.1,0.0
CERCOS,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,15.35,0.0
CERCOS,B1,Branca,Residencial,Residencial,Ponta,MWh,1783.47,256.69
CERCOS,B1,Branca,Residencial,Residencial,Intermediário,MWh,1108.16,256.69
CERCOS,B1,Branca,Residencial,Residencial,Fora ponta,MWh,432.84,256.69
CERCOS,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,602.24,256.69
CERCOS,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,657.95,256.69
CERCOS,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,602.24,256.69
CERCOS,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,657.95,256.69
CERCOS,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,1500.05,241.29
CERCOS,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,935.82,241.29
CERCOS,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,371.59,241.29
CERCOS,B2,Branca,Rural,Não se aplica,Ponta,MWh,1500.05,241.29
CERCOS,B2,Branca,Rural,Não se aplica,Intermediário,MWh,935.82,241.29
CERCOS,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,371.59,241.29
CERCOS,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,1468.13,236.16
CERCOS,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,915.91,236.16
CERCOS,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,363.69,236.16
CERCOS,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,618.47,241.29
CERCOS,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,618.47,241.29
CERCOS,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,605.31,236.16
CERCOS,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,618.47,241.29
CERCOS,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,618.47,241.29
CERCOS,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,605.31,236.16
CERCOS,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,1924.16,256.69
CERCOS,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,1192.57,256.69
CERCOS,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,460.98,256.69
CERCOS,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,657.95,256.69
CERCOS,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,657.95,256.69
CERCOS,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,361.87,141.18
CERCOS,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,394.77,154.02
CEREJ,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,12.72,0.0
CEREJ,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,99.83,0.0
CEREJ,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,12.72,0.0
CEREJ,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,32.76,0.0
CEREJ,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,104.33,166.76
CEREJ,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,99.83,0.0
CEREJ,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,104.33,166.76
CEREJ,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,32.76,0.0
CEREJ,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,166.76
CEREJ,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.63,0.0
CEREJ,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,2414.05,0.0
CEREJ,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,32.76,0.0
CEREJ,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,12.72,0.0
CEREJ,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,2505.66,166.76
CEREJ,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,32.76,0.0
CEREJ,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,104.33,166.76
CEREJ,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,7.9399999999999995,0.0
CEREJ,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,16.15,0.0
CEREJ,B1,Branca,Residencial,Residencial,Ponta,MWh,1166.01,166.76
CEREJ,B1,Branca,Residencial,Residencial,Intermediário,MWh,755.17,166.76
CEREJ,B1,Branca,Residencial,Residencial,Fora ponta,MWh,344.39,166.76
CEREJ,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,412.96,166.76
CEREJ,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,519.26,166.76
CEREJ,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,412.96,166.76
CEREJ,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,519.26,166.76
CEREJ,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,1185.3,156.76
CEREJ,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,763.39,156.76
CEREJ,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,341.47,156.76
CEREJ,B2,Branca,Rural,Não se aplica,Ponta,MWh,1185.3,156.76
CEREJ,B2,Branca,Rural,Não se aplica,Intermediário,MWh,763.39,156.76
CEREJ,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,341.47,156.76
CEREJ,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,1160.08,153.42
CEREJ,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,747.15,153.42
CEREJ,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,334.21,153.42
CEREJ,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,488.1,156.76
CEREJ,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,488.1,156.76
CEREJ,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,477.72,153.42
CEREJ,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,488.1,156.76
CEREJ,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,488.1,156.76
CEREJ,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,477.72,153.42
CEREJ,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,1451.23,166.76
CEREJ,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,926.25,166.76
CEREJ,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,401.34,166.76
CEREJ,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,519.26,166.76
CEREJ,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,519.26,166.76
CEREJ,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,285.59,91.72
CEREJ,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,311.56,100.06
CERES,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,14.6,0.0
CERES,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,196.14,0.0
CERES,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,14.6,0.0
CERES,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,68.86,0.0
CERES,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,135.58,225.79
CERES,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,196.14,0.0
CERES,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,135.58,225.79
CERES,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,68.86,0.0
CERES,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,12.45,0.0
CERES,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,4731.69,0.0
CERES,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,68.86,0.0
CERES,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,14.6,0.0
CERES,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,4852.68,225.79
CERES,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,68.86,0.0
CERES,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,135.58,225.79
CERES,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,3.4699999999999998,0.0
CERES,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,11.17,0.0
CERES,B1,Branca,Residencial,Residencial,Ponta,MWh,2712.76,225.79
CERES,B1,Branca,Residencial,Residencial,Intermediário,MWh,1695.45,225.79
CERES,B1,Branca,Residencial,Residencial,Fora ponta,MWh,678.13,225.79
CERES,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,905.05,225.79
CERES,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,1046.47,225.79
CERES,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,905.05,225.79
CERES,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,1046.47,225.79
CERES,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,2632.44,212.25
CERES,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,1643.18,212.25
CERES,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,653.93,212.25
CERES,B2,Branca,Rural,Não se aplica,Ponta,MWh,2632.44,212.25
CERES,B2,Branca,Rural,Não se aplica,Intermediário,MWh,1643.18,212.25
CERES,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,653.93,212.25
CERES,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,2576.43,207.73
CERES,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,1608.22,207.73
CERES,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,640.02,207.73
CERES,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,983.68,212.25
CERES,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,983.68,212.25
CERES,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,962.75,207.73
CERES,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,983.68,212.25
CERES,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,983.68,212.25
CERES,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,962.75,207.73
CERES,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,3151.26,225.79
CERES,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,1958.55,225.79
CERES,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,765.83,225.79
CERES,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,1046.47,225.79
CERES,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,1046.47,225.79
CERES,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,554.63,119.67
CERES,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,606.95,130.96
CERFOX,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,5.85,0.0
CERFOX,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,96.48,0.0
CERFOX,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,5.85,0.0
CERFOX,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,30.89,0.0
CERFOX,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,96.03,243.99
CERFOX,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,96.48,0.0
CERFOX,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,96.03,243.99
CERFOX,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,30.89,0.0
CERFOX,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,243.99
CERFOX,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,7.16,0.0
CERFOX,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,2326.25,0.0
CERFOX,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,30.89,0.0
CERFOX,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,5.85,0.0
CERFOX,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,2416.43,243.99
CERFOX,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,30.89,0.0
CERFOX,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,96.03,243.99
CERFOX,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,9.34,0.0
CERFOX,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,25.07,0.0
CERFOX,B1,Branca,Residencial,Residencial,Ponta,MWh,1842.42,243.99
CERFOX,B1,Branca,Residencial,Residencial,Intermediário,MWh,988.18,243.99
CERFOX,B1,Branca,Residencial,Residencial,Fora ponta,MWh,304.79,243.99
CERFOX,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,377.98,243.99
CERFOX,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,482.61,243.99
CERFOX,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,377.98,243.99
CERFOX,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,482.61,243.99
CERFOX,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,1944.91,229.35
CERFOX,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,974.78,229.35
CERFOX,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,247.18,229.35
CERFOX,B2,Branca,Rural,Não se aplica,Ponta,MWh,1944.91,229.35
CERFOX,B2,Branca,Rural,Não se aplica,Intermediário,MWh,974.78,229.35
CERFOX,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,247.18,229.35
CERFOX,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,1903.53,224.47
CERFOX,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,954.04,224.47
CERFOX,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,241.92,224.47
CERFOX,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,453.66,229.35
CERFOX,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,453.66,229.35
CERFOX,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,444.0,224.47
CERFOX,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,453.66,229.35
CERFOX,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,453.66,229.35
