CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,POSTO,UNIDADE,Total TUSD,Total TE
Boa Vista,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.35,0.0
Boa Vista,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,21.45,0.0
Boa Vista,B1,Branca,Residencial,Residencial,Ponta,MWh,914.77,542.84
Boa Vista,B1,Branca,Residencial,Residencial,Intermediário,MWh,607.79,317.39
Boa Vista,B1,Branca,Residencial,Residencial,Fora ponta,MWh,300.83,317.39
Boa Vista,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,339.85,336.18
Boa Vista,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,398.95,336.18
Boa Vista,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,339.85,336.18
Boa Vista,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,398.95,336.18
Boa Vista,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,895.35,510.27
Boa Vista,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,592.61,298.34
Boa Vista,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,289.87,298.34
Boa Vista,B2,Branca,Rural,Não se aplica,Ponta,MWh,895.35,510.27
Boa Vista,B2,Branca,Rural,Não se aplica,Intermediário,MWh,592.61,298.34
Boa Vista,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,289.87,298.34
Boa Vista,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,876.3,499.42
Boa Vista,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,580.0,292.0
Boa Vista,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,283.7,292.0
Boa Vista,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,375.02,316.0
Boa Vista,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,375.02,316.0
Boa Vista,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,367.04,309.28
Boa Vista,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,375.02,316.0
Boa Vista,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,375.02,316.0
Boa Vista,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,367.04,309.28
Boa Vista,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,1090.89,542.84
Boa Vista,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,713.48,317.39
Boa Vista,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,336.05,317.39
Boa Vista,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,398.95,336.18
Boa Vista,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,398.95,336.18
Boa Vista,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,219.42,184.9
Boa Vista,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,239.37,201.71
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,3.8,0.0
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,36.86,0.0
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,3.8,0.0
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,22.26,0.0
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,84.56,201.63
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,36.86,0.0
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,84.56,201.63
CASTRO - DIS,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,22.26,0.0
